PERIOD,DATE,SITE,NDVI
13,7/11/2016,PM18,8884
13,7/11/2016,PM4,8938
13,7/11/2016,PM17,9081
13,7/11/2016,PM5,8961
13,7/11/2016,PM21,9059
13,7/11/2016,PM6,9035
14,7/27/2016,PM5,8914
14,7/27/2016,PM4,8834
14,7/27/2016,PM1,8237
14,7/27/2016,PM12,8863
14,7/27/2016,PM2,7888
14,7/27/2016,PM19,8935
14,7/27/2016,PM3,8353
14,7/27/2016,PM13,8673
14,7/27/2016,PM8,8663
14,7/27/2016,PM15,9014
14,7/27/2016,PM9,8454
14,7/27/2016,PM14,8803
14,7/27/2016,PM20,9093
14,7/27/2016,PM22,8690
14,7/27/2016,PM16,9219
14,7/27/2016,PM6,8899
14,7/27/2016,PM17,8830
14,7/27/2016,PM11,9171
14,7/27/2016,PM10,8693
14,7/27/2016,PM7,8836
14,7/27/2016,PM18,8952
14,7/27/2016,PM21,9083
15,8/12/2016,PM2,7875
15,8/12/2016,PM4,8814
15,8/12/2016,PM9,8400
15,8/12/2016,PM13,7601
15,8/12/2016,PM12,7956
15,8/12/2016,PM15,7995
15,8/12/2016,PM19,8938
15,8/12/2016,PM5,8826
15,8/12/2016,PM17,8600
15,8/12/2016,PM22,8885
15,8/12/2016,PM10,8266
15,8/12/2016,PM3,8426
15,8/12/2016,PM18,8852
15,8/12/2016,PM20,8680
15,8/12/2016,PM11,9011
15,8/12/2016,PM8,8832
15,8/12/2016,PM14,7532
15,8/12/2016,PM1,8052
15,8/12/2016,PM6,8082
15,8/12/2016,PM21,8646
15,8/12/2016,PM7,8344
15,8/12/2016,PM16,9178
16,8/28/2016,PM13,8726
16,8/28/2016,PM15,8610
16,8/28/2016,PM4,8918
16,8/28/2016,PM22,8863
16,8/28/2016,PM2,8565
16,8/28/2016,PM10,8369
16,8/28/2016,PM19,9046
16,8/28/2016,PM18,8881
16,8/28/2016,PM7,8743
16,8/28/2016,PM12,8429
16,8/28/2016,PM1,8410
16,8/28/2016,PM8,8838
16,8/28/2016,PM5,8966
16,8/28/2016,PM20,8816
16,8/28/2016,PM14,8083
16,8/28/2016,PM11,9096
16,8/28/2016,PM3,8557
16,8/28/2016,PM9,8759
16,8/28/2016,PM17,8987
16,8/28/2016,PM6,9042
16,8/28/2016,PM21,8901
16,8/28/2016,PM16,9081
17,9/13/2016,PM3,8375
17,9/13/2016,PM5,8845
17,9/13/2016,PM19,8966
17,9/13/2016,PM15,8387
17,9/13/2016,PM18,8757
17,9/13/2016,PM12,8001
17,9/13/2016,PM8,8704
17,9/13/2016,PM2,7731
17,9/13/2016,PM22,8628
17,9/13/2016,PM14,8068
17,9/13/2016,PM20,8693
17,9/13/2016,PM1,7911
17,9/13/2016,PM10,8128
17,9/13/2016,PM7,8551
17,9/13/2016,PM17,8780
17,9/13/2016,PM6,8949
17,9/13/2016,PM16,8922
17,9/13/2016,PM9,8499
17,9/13/2016,PM13,8503
17,9/13/2016,PM21,8829
17,9/13/2016,PM11,8943
17,9/13/2016,PM4,8820
18,9/29/2016,PM13,8390
18,9/29/2016,PM14,8263
18,9/29/2016,PM8,8512
18,9/29/2016,PM2,8038
18,9/29/2016,PM9,8589
18,9/29/2016,PM7,8695
18,9/29/2016,PM3,8011
18,9/29/2016,PM18,8649
18,9/29/2016,PM17,8638
18,9/29/2016,PM4,8760
18,9/29/2016,PM19,8810
18,9/29/2016,PM5,8610
18,9/29/2016,PM12,7469
18,9/29/2016,PM22,8371
18,9/29/2016,PM11,8897
18,9/29/2016,PM15,7448
18,9/29/2016,PM1,8051
18,9/29/2016,PM21,8601
18,9/29/2016,PM20,8569
18,9/29/2016,PM10,7789
18,9/29/2016,PM6,8759
18,9/29/2016,PM16,8881
19,10/15/2016,PM12,6855
19,10/15/2016,PM4,7993
19,10/15/2016,PM19,8308
19,10/15/2016,PM3,7533
19,10/15/2016,PM13,7933
19,10/15/2016,PM17,8126
19,10/15/2016,PM11,8295
19,10/15/2016,PM9,7337
19,10/15/2016,PM2,8024
19,10/15/2016,PM18,8382
19,10/15/2016,PM1,7081
19,10/15/2016,PM8,8077
19,10/15/2016,PM10,7422
19,10/15/2016,PM14,6670
19,10/15/2016,PM7,8080
19,10/15/2016,PM5,8071
19,10/15/2016,PM6,8307
19,10/15/2016,PM16,8433
19,10/15/2016,PM21,8161
19,10/15/2016,PM22,7224
19,10/15/2016,PM15,6610
19,10/15/2016,PM20,8426
20,10/31/2016,PM19,6682
20,10/31/2016,PM2,6313
20,10/31/2016,PM12,6272
20,10/31/2016,PM1,6356
20,10/31/2016,PM13,7122
20,10/31/2016,PM17,6401
20,10/31/2016,PM18,7087
20,10/31/2016,PM8,6471
20,10/31/2016,PM4,6620
20,10/31/2016,PM3,6509
20,10/31/2016,PM22,6175
20,10/31/2016,PM11,6657
20,10/31/2016,PM10,5319
20,10/31/2016,PM15,5905
20,10/31/2016,PM7,6540
20,10/31/2016,PM6,6551
20,10/31/2016,PM14,5695
20,10/31/2016,PM5,6246
20,10/31/2016,PM9,6040
20,10/31/2016,PM16,7117
20,10/31/2016,PM21,6607
20,10/31/2016,PM20,7123
21,11/16/2016,PM12,5076
21,11/16/2016,PM13,5143
21,11/16/2016,PM17,5586
21,11/16/2016,PM8,5542
21,11/16/2016,PM2,5130
21,11/16/2016,PM19,5164
21,11/16/2016,PM18,5390
21,11/16/2016,PM1,5357
21,11/16/2016,PM11,5038
21,11/16/2016,PM10,4713
21,11/16/2016,PM22,5264
21,11/16/2016,PM7,5133
21,11/16/2016,PM14,5052
21,11/16/2016,PM5,5316
21,11/16/2016,PM3,5977
21,11/16/2016,PM6,5338
21,11/16/2016,PM21,5197
21,11/16/2016,PM16,5575
21,11/16/2016,PM20,5416
21,11/16/2016,PM4,5328
21,11/16/2016,PM15,5054
21,11/16/2016,PM9,5501
22,12/2/2016,PM22,5262
22,12/2/2016,PM12,4328
22,12/2/2016,PM17,4887
22,12/2/2016,PM2,5015
22,12/2/2016,PM6,5119
22,12/2/2016,PM11,4705
22,12/2/2016,PM13,4627
22,12/2/2016,PM1,5525
22,12/2/2016,PM7,4860
22,12/2/2016,PM5,5746
22,12/2/2016,PM3,5816
22,12/2/2016,PM18,4455
22,12/2/2016,PM14,4637
22,12/2/2016,PM16,4419
22,12/2/2016,PM8,5750
22,12/2/2016,PM15,4527
22,12/2/2016,PM21,4654
22,12/2/2016,PM4,5398
22,12/2/2016,PM20,4624
22,12/2/2016,PM19,4375
22,12/2/2016,PM10,4241
22,12/2/2016,PM9,6145
23,12/18/2016,PM2,4601
23,12/18/2016,PM6,5602
23,12/18/2016,PM22,5132
23,12/18/2016,PM1,5521
23,12/18/2016,PM4,5581
23,12/18/2016,PM17,4785
23,12/18/2016,PM3,5552
23,12/18/2016,PM7,4849
23,12/18/2016,PM10,4905
23,12/18/2016,PM18,4477
23,12/18/2016,PM5,5544
23,12/18/2016,PM12,4081
23,12/18/2016,PM11,4690
23,12/18/2016,PM16,4315
23,12/18/2016,PM21,4604
23,12/18/2016,PM14,4550
23,12/18/2016,PM13,4692
23,12/18/2016,PM8,5438
23,12/18/2016,PM19,4303
23,12/18/2016,PM15,4257
23,12/18/2016,PM20,4602
23,12/18/2016,PM9,5030
24,1/3/2017,PM2,3495
24,1/3/2017,PM11,2198
24,1/3/2017,PM17,1964
24,1/3/2017,PM1,3272
24,1/3/2017,PM10,1823
24,1/3/2017,PM18,3614
24,1/3/2017,PM12,231
24,1/3/2017,PM6,2043
24,1/3/2017,PM22,191
24,1/3/2017,PM16,2285
24,1/3/2017,PM21,3032
24,1/3/2017,PM3,2344
24,1/3/2017,PM13,2323
24,1/3/2017,PM5,2862
24,1/3/2017,PM20,3006
24,1/3/2017,PM9,3010
24,1/3/2017,PM15,2784
24,1/3/2017,PM14,2495
24,1/3/2017,PM19,3643
24,1/3/2017,PM7,180
24,1/3/2017,PM4,4878
24,1/3/2017,PM8,2565
25,1/19/2017,PM12,4002
25,1/19/2017,PM2,5382
25,1/19/2017,PM1,5620
25,1/19/2017,PM16,4471
25,1/19/2017,PM6,5189
25,1/19/2017,PM7,4771
25,1/19/2017,PM11,4552
25,1/19/2017,PM3,6124
25,1/19/2017,PM9,5294
25,1/19/2017,PM5,5482
25,1/19/2017,PM17,4679
25,1/19/2017,PM4,5655
25,1/19/2017,PM21,4569
25,1/19/2017,PM22,5157
25,1/19/2017,PM10,4713
25,1/19/2017,PM20,4661
25,1/19/2017,PM18,4654
25,1/19/2017,PM19,4313
25,1/19/2017,PM15,4283
25,1/19/2017,PM13,5135
25,1/19/2017,PM14,4646
25,1/19/2017,PM8,5613
26,2/4/2017,PM3,5185
26,2/4/2017,PM22,4728
26,2/4/2017,PM10,4612
26,2/4/2017,PM4,5408
26,2/4/2017,PM6,4926
26,2/4/2017,PM12,3831
26,2/4/2017,PM20,4369
26,2/4/2017,PM17,4523
26,2/4/2017,PM18,4449
26,2/4/2017,PM21,4188
26,2/4/2017,PM1,5416
26,2/4/2017,PM2,4725
26,2/4/2017,PM14,4518
26,2/4/2017,PM19,4109
26,2/4/2017,PM5,5259
26,2/4/2017,PM15,4118
26,2/4/2017,PM7,4284
26,2/4/2017,PM11,4277
26,2/4/2017,PM16,4235
26,2/4/2017,PM13,4472
26,2/4/2017,PM8,5198
26,2/4/2017,PM9,4698
27,2/20/2017,PM20,4352
27,2/20/2017,PM17,4507
27,2/20/2017,PM1,5513
27,2/20/2017,PM14,4494
27,2/20/2017,PM13,4605
27,2/20/2017,PM2,4814
27,2/20/2017,PM5,5048
27,2/20/2017,PM15,4410
27,2/20/2017,PM21,4363
27,2/20/2017,PM16,4215
27,2/20/2017,PM6,4703
27,2/20/2017,PM22,5035
27,2/20/2017,PM19,4098
27,2/20/2017,PM18,4272
27,2/20/2017,PM7,4262
27,2/20/2017,PM3,5644
27,2/20/2017,PM12,3849
27,2/20/2017,PM8,5355
27,2/20/2017,PM4,5159
27,2/20/2017,PM9,5420
27,2/20/2017,PM10,4380
27,2/20/2017,PM11,4443
28,3/8/2017,PM9,5220
28,3/8/2017,PM10,4201
28,3/8/2017,PM17,4494
28,3/8/2017,PM5,5106
28,3/8/2017,PM21,4184
28,3/8/2017,PM3,5483
28,3/8/2017,PM1,5447
28,3/8/2017,PM7,4574
28,3/8/2017,PM18,4281
28,3/8/2017,PM4,4974
28,3/8/2017,PM8,5394
28,3/8/2017,PM13,4361
28,3/8/2017,PM19,4086
28,3/8/2017,PM16,4155
28,3/8/2017,PM14,4362
28,3/8/2017,PM15,4003
28,3/8/2017,PM20,4259
28,3/8/2017,PM12,4122
28,3/8/2017,PM11,4175
28,3/8/2017,PM22,4824
28,3/8/2017,PM2,4605
28,3/8/2017,PM6,4478
29,3/24/2017,PM10,4462
29,3/24/2017,PM3,5549
29,3/24/2017,PM8,5295
29,3/24/2017,PM9,5160
29,3/24/2017,PM4,5145
29,3/24/2017,PM14,4442
29,3/24/2017,PM18,4201
29,3/24/2017,PM5,5099
29,3/24/2017,PM16,4048
29,3/24/2017,PM11,4148
29,3/24/2017,PM19,4105
29,3/24/2017,PM22,4734
29,3/24/2017,PM2,4985
29,3/24/2017,PM7,4437
29,3/24/2017,PM12,3858
29,3/24/2017,PM17,4468
29,3/24/2017,PM13,4544
29,3/24/2017,PM20,4282
